/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
0 21.786400279565658 0.242 -110.75 -0.002 tensor(457.4600)
1 2.7909618190704144 0.38 -325.729 -0.0 tensor(332.0638)
2 1.3709582734684653 0.139 -265.513 -0.0 tensor(330.3325)
3 1.5848427607650093 0.214 37.969 -0.0 tensor(307.8154)
4 3.4061544866150557 0.442 -42.603 -0.0 tensor(326.0652)
5 7.18400974664498 0.568 -55.94 -0.0 tensor(306.7762)
6 2.8420403325235393 0.166 -29.136 -0.0 tensor(341.4229)
7 7.542607578679877 0.521 -98.391 -0.0 tensor(325.7019)
8 16.27148337001656 0.025 -19.426 -0.0 tensor(387.7207)
9 12.152249406650379 0.529 -60.324 -0.0 tensor(362.3489)
10 3.8532591639165785 0.104 -99.516 -0.0 tensor(339.5187)
11 9.099209488992182 0.121 -19.307 -0.0 tensor(407.2864)
12 6.023295668741183 0.33 2.753 -0.0 tensor(396.3197)
13 1.8122628999308978 0.009 -37.623 -0.0 tensor(430.2074)
14 15.221035737024858 0.3 -101.684 -0.0 tensor(449.1884)
15 13.906260479952024 0.288 -4.205 -0.0 tensor(410.2119)
16 20.132913876209145 0.039 -289.094 -0.0 tensor(435.6314)
17 4.432299390132254 0.404 -78.086 -0.0 tensor(419.3722)
18 26.75008992961088 0.444 -171.688 -0.0 tensor(501.2485)
19 15.363353647349161 0.107 -93.537 -0.0 tensor(454.6257)
20 27.387086066997554 0.578 -192.332 -0.0 tensor(552.2736)
21 18.03499618945218 0.155 -2.288 -0.0 tensor(540.2016)
22 7.114898601626532 0.124 -187.75 -0.0 tensor(586.0365)
23 4.844712515241887 0.117 -56.713 -0.0 tensor(597.1859)
24 2.7120234835632555 0.435 -280.656 -0.0 tensor(586.3525)
25 1.955659374421023 0.206 -106.389 0.0 tensor(631.9910)
26 3.1135781561361906 0.311 -130.047 0.0 tensor(598.6815)
27 2.1568378813960507 0.599 -152.5 -0.0 tensor(590.8853)
28 8.468159155979706 0.536 -47.543 0.0 tensor(612.2670)
29 10.183247909669808 0.259 -134.719 -0.0 tensor(585.1515)

30 13.164094259708353 0.264 -126.289 -0.0 tensor(584.1501)
31 1.714277106155615 0.23 6.764 -0.0 tensor(614.6178)
32 3.4903403296282143 0.006 -30.875 -0.0 tensor(555.3817)
33 14.36405970734889 0.531 -0.113 -0.0 tensor(576.8196)
34 21.321728749300302 0.63 -25.288 -0.0 tensor(577.6058)
