2024-04-09 19:35:12,616 INFO    StreamThr :27903 [internal.py:wandb_internal():89] W&B internal server running at pid: 27903, started at: 2024-04-09 19:35:12.614749
2024-04-09 19:35:12,623 DEBUG   HandlerThread:27903 [handler.py:handle_request():146] handle_request: status
2024-04-09 19:35:12,628 INFO    WriterThread:27903 [datastore.py:open_for_write():87] open: /home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/wandb/run-20240409_193512-joya3jzu/run-joya3jzu.wandb
2024-04-09 19:35:12,629 DEBUG   SenderThread:27903 [sender.py:send():378] send: header
2024-04-09 19:35:12,772 DEBUG   SenderThread:27903 [sender.py:send():378] send: run
2024-04-09 19:35:13,034 INFO    SenderThread:27903 [dir_watcher.py:__init__():211] watching files in: /home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/wandb/run-20240409_193512-joya3jzu/files
2024-04-09 19:35:13,035 INFO    SenderThread:27903 [sender.py:_start_run_threads():1102] run started: joya3jzu with start time 1712705712.615176
2024-04-09 19:35:13,050 DEBUG   HandlerThread:27903 [handler.py:handle_request():146] handle_request: check_version
2024-04-09 19:35:13,051 DEBUG   SenderThread:27903 [sender.py:send_request():405] send_request: check_version
2024-04-09 19:35:13,168 DEBUG   HandlerThread:27903 [handler.py:handle_request():146] handle_request: run_start
2024-04-09 19:35:13,180 DEBUG   HandlerThread:27903 [system_info.py:__init__():26] System info init
2024-04-09 19:35:13,181 DEBUG   HandlerThread:27903 [system_info.py:__init__():41] System info init done
2024-04-09 19:35:13,181 INFO    HandlerThread:27903 [system_monitor.py:start():194] Starting system monitor
2024-04-09 19:35:13,182 INFO    HandlerThread:27903 [system_monitor.py:probe():214] Collecting system info
2024-04-09 19:35:13,182 INFO    SystemMonitor:27903 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-09 19:35:13,186 INFO    SystemMonitor:27903 [interfaces.py:start():190] Started cpu monitoring
2024-04-09 19:35:13,188 INFO    SystemMonitor:27903 [interfaces.py:start():190] Started disk monitoring
2024-04-09 19:35:13,191 INFO    SystemMonitor:27903 [interfaces.py:start():190] Started gpu monitoring
2024-04-09 19:35:13,192 INFO    SystemMonitor:27903 [interfaces.py:start():190] Started memory monitoring
